Lehçe,Türkçe,Fonetik,Örnek Cümle,Çeviri,Zorluk
być,olmak,bıç,Chcę być nauczycielem.,Öğretmen olmak istiyorum.,Kolay
mieć,sahip olmak,myeç,Mam psa.,Köpeğim var.,Kolay
iść,gitmek,işç,Idę do szkoły.,Okula gidiyorum.,Kolay
jeść,yemek,yeşç,Jem śniadanie.,Kahvaltı yiyorum.,Kolay
pić,içmek,piç,Piję wodę.,Su içiyorum.,Kolay
spać,uyumak,spaç,Śpię w łóżku.,Yatakta uyuyorum.,Kolay
kochać,sevmek,kohać,Kocham moją rodzinę.,Ailemi seviyorum.,Kolay
mieszkać,yaşamak,myeşkać,Mieszkam w Warszawie.,Varşova'da yaşıyorum.,Kolay
pracować,çalışmak,praţovać,Pracuję w biurze.,Ofiste çalışıyorum.,Kolay
mówić,konuşmak,muviç,Mówię po polsku.,Lehçe konuşuyorum.,Kolay
czytać,okumak,çıtać,Czytam książkę.,Kitap okuyorum.,Kolay
pisać,yazmak,pisaç,Piszę list.,Mektup yazıyorum.,Kolay
słuchać,dinlemek,suuhać,Słucham muzyki.,Müzik dinliyorum.,Kolay
bawić się,oynamak,baviç şe,Dzieci bawią się w parku.,Çocuklar parkta oynuyor.,Kolay
śmiać się,gülmek,şmyaç şe,Śmieję się z żartu.,Şakaya gülüyorum.,Kolay
płakać,ağlamak,puakać,Dziecko płacze.,Çocuk ağlıyor.,Kolay
myśleć,düşünmek,mışleç,Myślę o wakacjach.,Tatili düşünüyorum.,Kolay
widzieć,görmek,viceç,Widzę piękny zachód słońca.,Güzel bir günbatımı görüyorum.,Kolay
słyszeć,duymak,suışeç,Słyszę muzykę.,Müzik duyuyorum.,Kolay
czuć,hissetmek,çuç,Czuję się dobrze.,Kendimi iyi hissediyorum.,Kolay
biegać,koşmak,byegać,Biegam w parku.,Parkta koşuyorum.,Kolay
tańczyć,dans etmek,tańçıç,Lubię tańczyć.,Dans etmeyi seviyorum.,Kolay
śpiewać,şarkı söylemek,şpyevaç,Śpiewam w chórze.,Koroda şarkı söylüyorum.,Kolay
grać,oynamak (enstrüman/oyun),grać,Gram na gitarze.,Gitar çalıyorum.,Kolay
gotować,yemek pişirmek,gotovać,Gotuję obiad.,Öğle yemeği pişiriyorum.,Kolay
uczyć,öğretmek,uçıç,Uczę języka angielskiego.,İngilizce öğretiyorum.,Kolay
malować,boyamak/resim yapmak,malovać,Maluję obraz.,Resim yapıyorum.,Kolay
rysować,çizmek,rısovać,Rysuję kwiaty.,Çiçek çiziyorum.,Kolay
oglądać,izlemek,oglondać,Oglądam telewizję.,Televizyon izliyorum.,Kolay
sprzątać,temizlemek,spşontać,Sprzątam dom.,Evi temizliyorum.,Kolay
robić,yapmak,robiç,Robię zakupy.,Alışveriş yapıyorum.,Kolay
prosić,rica etmek,proşiç,Proszę o pomoc.,Yardım rica ediyorum.,Kolay
dziękować,teşekkür etmek,cenkować,Dziękuję za prezent.,Hediye için teşekkür ederim.,Kolay
przepraszać,özür dilemek,pşepraşać,Przepraszam za spóźnienie.,Geç kaldığım için özür dilerim.,Kolay
wracać,geri dönmek,vraţać,Wracam do domu.,Eve dönüyorum.,Kolay
wstawać,kalkmak,vstavać,Wstaję wcześnie rano.,Sabah erken kalkıyorum.,Kolay
ubierać się,giyinmek,ubyerać şe,Ubieram się do pracy.,İşe gitmek için giyiniyorum.,Kolay
zamykać,kapatmak,zamıkać,Zamykam drzwi.,Kapıyı kapatıyorum.,Kolay
otwierać,açmak,otvyerać,Otwieram okno.,Pencereyi açıyorum.,Kolay
szukać,aramak,şukać,Szukam kluczy.,Anahtarları arıyorum.,Kolay
znajdować,bulmak,znaydovać,Znajduję rozwiązanie.,Bir çözüm buluyorum.,Kolay
gubić,kaybetmek,gubiç,Gubię często telefon.,Sık sık telefonumu kaybediyorum.,Kolay
pytać,sormak,pıtać,Pytam o drogę.,Yol soruyorum.,Kolay
odpowiadać,cevap vermek,odpovyadać,Odpowiadam na pytania.,Sorulara cevap veriyorum.,Kolay
pamiętać,hatırlamak,pamyentać,Pamiętam twoje imię.,Adını hatırlıyorum.,Kolay
zapominać,unutmak,zapomınać,Zapominam kluczy.,Anahtarları unutuyorum.,Kolay
zaczynać,başlamak,zaçınać,Zaczynam nową pracę.,Yeni bir işe başlıyorum.,Kolay
kończyć,bitirmek,końçıć,Kończę projekt.,Projeyi bitiriyorum.,Kolay
wchodzić,girmek,vhociç,Wchodzę do sklepu.,Mağazaya giriyorum.,Kolay
wychodzić,çıkmak,vıhociç,Wychodzę z domu.,Evden çıkıyorum.,Kolay
siedzieć,oturmak,şyeceç,Siedzę przy biurku.,Masada oturuyorum.,Kolay
stać,ayakta durmak,staç,Stoję w kolejce.,Sırada ayakta duruyorum.,Kolay
leżeć,yatmak,lejeç,Leżę na plaży.,Plajda yatıyorum.,Kolay
bać się,korkmak,baç şe,Boję się pająków.,Örümceklerden korkuyorum.,Kolay
cieszyć się,sevinmek,çyeşıç şe,Cieszę się z wygranej.,Kazandığım için seviniyorum.,Kolay
denerwować się,sinirlenmek,denervovać şe,Denerwuję się przed egzaminem.,Sınav öncesi sinirleniyorum.,Kolay
uśmiechać się,gülümsemek,uşmyehać şe,Uśmiecham się do ciebie.,Sana gülümsüyorum.,Kolay
płacić,ödemek,puaçiç,Płacę rachunek.,Hesabı ödüyorum.,Kolay
kupować,satın almak,kupovać,Kupuję nowe buty.,Yeni ayakkabı satın alıyorum.,Kolay
sprzedawać,satmak,spşedavać,Sprzedaję stary samochód.,Eski arabamı satıyorum.,Kolay
zarabiać,para kazanmak,zarabyać,Zarabiam dużo pieniędzy.,Çok para kazanıyorum.,Kolay
oszczędzać,biriktirmek,oşçencać,Oszczędzam na wakacje.,Tatil için para biriktiriyorum.,Kolay
rozumieć,anlamak,rozumyeç,Nie rozumiem tego problemu.,Bu problemi anlamıyorum.,Orta
wyjaśniać,açıklamak,vıyaşnyać,Wyjaśniam trudne zagadnienie.,Zor konuyu açıklıyorum.,Orta
tłumaczyć,tercüme etmek,tuumaçıç,Tłumaczę tekst na polski.,Metni Lehçeye tercüme ediyorum.,Orta
uczyć się,öğrenmek,uçıç şe,Uczę się do egzaminu.,Sınava çalışıyorum.,Orta
zdawać,sınav vermek,zdavać,Zdaję egzamin z matematyki.,Matematik sınavı veriyorum.,Orta
rozwiązywać,çözmek,rozvyonzıvać,Rozwiązuję trudne zadanie.,Zor problemi çözüyorum.,Orta
planować,planlamak,planovać,Planuję wakacje.,Tatil planlıyorum.,Orta
organizować,organize etmek,organizovać,Organizuję przyjęcie urodzinowe.,Doğum günü partisi organize ediyorum.,Orta
przygotowywać,hazırlamak,pşıgotovıvać,Przygotowuję prezentację.,Sunum hazırlıyorum.,Orta
decydować,karar vermek,deţıdovać,Decyduję o swojej przyszłości.,Geleceğim hakkında karar veriyorum.,Orta
wybierać,seçmek,vıbyerać,Wybieram studia.,Üniversite seçiyorum.,Orta
zmieniać,değiştirmek,zmyenyać,Zmieniam pracę.,İşimi değiştiriyorum.,Orta
poprawiać,düzeltmek,popravyać,Poprawiam błędy.,Hataları düzeltiyorum.,Orta
naprawiać,tamir etmek,napravyać,Naprawiam samochód.,Arabayı tamir ediyorum.,Orta
psuć,bozmak,psuç,Psuję zabawkę.,Oyuncağı bozuyorum.,Orta
niszczyć,yok etmek,nişçıç,Niszczę stare dokumenty.,Eski belgeleri yok ediyorum.,Orta
budować,inşa etmek,budovać,Buduję dom.,Ev inşa ediyorum.,Orta
tworzyć,yaratmak,tvoşıç,Tworzę nowy projekt.,Yeni bir proje yaratıyorum.,Orta
projektować,tasarlamak,proyektovać,Projektuję stronę internetową.,Web sitesi tasarlıyorum.,Orta
rozwijać,geliştirmek,rozviyać,Rozwijam swoje umiejętności.,Becerilerimi geliştiriyorum.,Orta
doskonalić,mükemmelleştirmek,doskonaliç,Doskonalę technikę gry.,Oyun tekniğimi mükemmelleştiriyorum.,Orta
ćwiczyć,egzersiz yapmak,çviçıç,Ćwiczę codziennie.,Her gün egzersiz yapıyorum.,Orta
trenować,antrenman yapmak,trenovać,Trenuję do maratonu.,Maraton için antrenman yapıyorum.,Orta
podróżować,seyahat etmek,podrujovać,Podróżuję po świecie.,Dünyayı geziyorum.,Orta
zwiedzać,gezmek,zvyecać,Zwiedzam zabytki.,Tarihi yerleri geziyorum.,Orta
odkrywać,keşfetmek,odkrıvać,Odkrywam nowe miejsca.,Yeni yerler keşfediyorum.,Orta
poznawać,tanımak,poznavać,Poznaję nowych ludzi.,Yeni insanlar tanıyorum.,Orta
spotykać,buluşmak,spotıkać,Spotykam się z przyjaciółmi.,Arkadaşlarımla buluşuyorum.,Orta
zapraszać,davet etmek,zapraşać,Zapraszam gości na kolację.,Misafirleri akşam yemeğine davet ediyorum.,Orta
odwiedzać,ziyaret etmek,odvyecać,Odwiedzam rodzinę.,Ailemi ziyaret ediyorum.,Orta
witać,selamlamak,vitać,Witam gości.,Misafirleri selamlıyorum.,Orta
żegnać,veda etmek,jegnać,Żegnam się z przyjaciółmi.,Arkadaşlarımla vedalaşıyorum.,Orta
rozmawiać,konuşmak,rozmavyać,Rozmawiam przez telefon.,Telefonla konuşuyorum.,Orta
dyskutować,tartışmak,dıskutovać,Dyskutuję o polityce.,Siyaset hakkında tartışıyorum.,Orta
kłócić się,kavga etmek,kuuçiç şe,Kłócę się z siostrą.,Kız kardeşimle kavga ediyorum.,Orta
zgadzać się,anlaşmak,zgacać şe,Zgadzam się z twoją opinią.,Fikrine katılıyorum.,Orta
sprzeczać się,tartışmak,spşeçać şe,Sprzeczam się o pieniądze.,Para konusunda tartışıyorum.,Orta
negocjować,pazarlık etmek,negoţyovać,Negocjuję cenę.,Fiyat pazarlığı yapıyorum.,Orta
argumentować,tartışmak,argumentovać,Argumentuję swoje stanowisko.,Görüşümü savunuyorum.,Orta
przekonywać,ikna etmek,pşekonıvać,Przekonuję rodziców.,Ailemi ikna ediyorum.,Orta
ustępować,taviz vermek,ustempovać,Ustępuję w sporze.,Tartışmada taviz veriyorum.,Orta
współpracować,işbirliği yapmak,vspuupraţovać,Współpracuję z zespołem.,Ekiple işbirliği yapıyorum.,Orta
konkurować,rekabet etmek,konkurovać,Konkuruję w zawodach.,Yarışmalarda rekabet ediyorum.,Orta
rywalizować,yarışmak,rıvalizovać,Rywalizuję w sporcie.,Sporda yarışıyorum.,Orta
wygrywać,kazanmak,vıgrıvać,Wygrywam konkurs.,Yarışmayı kazanıyorum.,Orta
przegrywać,kaybetmek,pşegrıvać,Przegrywam mecz.,Maçı kaybediyorum.,Orta
rezygnować,vazgeçmek,rezıgnovać,Rezygnuję z pracy.,İşten vazgeçiyorum.,Orta
odzwierciedlać,yansıtmak,odzvyerçedlać,To odzwierciedla rzeczywistość.,Bu gerçeği yansıtıyor.,Zor
wykorzystywać,kullanmak/faydalanmak,vıkorjistıvać,Wykorzystuję każdą okazję.,Her fırsatı değerlendiriyorum.,Zor
przypuszczać,varsaymak,pşipuşçać,Przypuszczam że będzie padać.,Yağmur yağacağını varsayıyorum.,Zor
pokonywać,üstesinden gelmek,pokonıvać,Pokonuję wszystkie trudności.,Tüm zorlukların üstesinden geliyorum.,Zor
przekazywać,iletmek/aktarmak,pşekazıvać,Przekazuję ważną informację.,Önemli bir bilgi iletiyorum.,Zor
kształtować,şekillendirmek,kştautovać,Kształtuję swoją przyszłość.,Geleceğimi şekillendiriyorum.,Zor
odzwyczajać się,alışkanlıktan vazgeçmek,odvıçayać şe,Odzwyczajam się od palenia.,Sigara içme alışkanlığından vazgeçiyorum.,Zor
przeprowadzać się,taşınmak,pşeprovacać şe,Przeprowadzam się do nowego mieszkania.,Yeni bir eve taşınıyorum.,Zor
zanieczyszczać,kirletmek,zanyeçışçać,Fabryki zanieczyszczają środowisko.,Fabrikalar çevreyi kirletiyor.,Zor
zaniedbywać,ihmal etmek,zanyed'bıvać,Nie zaniedbuj swojego zdrowia.,Sağlığını ihmal etme.,Zor
rozważać,düşünüp taşınmak,rozvajaç,Rozważam zmianę pracy.,İş değiştirmeyi düşünüp taşınıyorum.,Zor
kwestionować,sorgulamak,kvestyonovać,Kwestionuję tę decyzję.,Bu kararı sorguluyorum.,Zor
interpretować,yorumlamak,interpretovać,Interpretuję wyniki badań.,Araştırma sonuçlarını yorumluyorum.,Zor
analizować,analiz etmek,analizovać,Analizuję dane statystyczne.,İstatistiksel verileri analiz ediyorum.,Zor
definiować,tanımlamak,definyovać,Definiuję nowe pojęcie.,Yeni bir kavramı tanımlıyorum.,Zor
konsultować,danışmak,konsultovać,Konsuluję się z ekspertem.,Bir uzmana danışıyorum.,Zor
kontemplować,derin düşünmek,kontemplovać,Kontempluję nad sensem życia.,Hayatın anlamı üzerine derin düşünüyorum.,Zor
spekulować,spekülasyon yapmak,spekulovać,Spekuluję na temat przyszłości.,Gelecek hakkında spekülasyon yapıyorum.,Zor
manipulować,manipüle etmek,manipulovać,Nie lubię gdy ktoś mną manipuluje.,Birinin beni manipüle etmesinden hoşlanmıyorum.,Zor
argumentować,argüman sunmak,argumentovać,Argumentuję swoje stanowisko.,Duruşumu argümanlarla destekliyorum.,Zor
dedukować,çıkarım yapmak,dedukovać,Dedukuję na podstawie dostępnych informacji.,Mevcut bilgilerden çıkarım yapıyorum.,Zor
formułować,formüle etmek,formuuovać,Formułuję nową hipotezę.,Yeni bir hipotez formüle ediyorum.,Zor
kategoryzować,kategorize etmek,kategorızovać,Kategoryzuję dane według wzoru.,Verileri bir örüntüye göre kategorize ediyorum.,Zor
modyfikować,değiştirmek/düzenlemek,modıfikovać,Modyfikuję swoje plany.,Planlarımı değiştiriyorum/düzenliyorum.,Zor
optymalizować,optimize etmek,optımalızovać,Optymalizuję proces produkcji.,Üretim sürecini optimize ediyorum.,Zor
przetwarzać,işlemek,pşetvajaç,Przetwarzam dane osobowe.,Kişisel verileri işliyorum.,Zor
restrukturyzować,yeniden yapılandırmak,restrukturızovać,Restrukturyzuję firmę.,Şirketi yeniden yapılandırıyorum.,Zor
synchronizować,senkronize etmek,sınhronizovać,Synchronizuję kalendarz.,Takvimi senkronize ediyorum.,Zor
transformować,dönüştürmek,transformovać,Transformuję surowe dane w informacje.,Ham verileri bilgiye dönüştürüyorum.,Zor
unifikować,birleştirmek,unifikovać,Unifikuję standardy w firmie.,Şirketteki standartları birleştiriyorum.,Zor
weryfikować,doğrulamak,verıfikovać,Weryfikuję informacje przed publikacją.,Bilgileri yayınlamadan önce doğruluyorum.,Zor
absorbować,absorbe etmek,absorbovać,Absorbują nową wiedzę.,Yeni bilgiyi absorbe ediyorum.,Zor
antycypować,öngörmek,antıţıpovać,Antycypuję przyszłe trendy.,Gelecekteki trendleri öngörüyorum.,Zor
dezorganizować,düzeni bozmak,dezorganizovać,Dezorganizuję plan dnia.,Günlük planı bozuyorum.,Zor
ewoluować,evrimleşmek,evoluovać,Firma ewoluuje w nowym kierunku.,Şirket yeni bir yönde evrimleşiyor.,Zor
identyfikować,tanımlamak,identıfikovać,Identyfikuję problemy w projekcie.,Projedeki sorunları tanımlıyorum.,Zor
implementować,uygulamak,implementovać,Implementuję nowe rozwiązania.,Yeni çözümleri uyguluyorum.,Zor
kompensować,telafi etmek,kompensovać,Kompensuję straty finansowe.,Finansal kayıpları telafi ediyorum.,Zor
konsolidować,birleştirmek,konsolidovać,Konsoliduję dane z różnych źródeł.,Farklı kaynaklardan gelen verileri birleştiriyorum.,Zor
manifestować,göstermek/sergilemek,manifestovać,Manifestuję swoje poglądy.,Görüşlerimi sergiliyorum.,Zor
neutralizować,nötralize etmek,neutralizovać,Neutralizuję zagrożenie.,Tehdidi nötralize ediyorum.,Zor
parkować,park etmek,parkovać,Parkuję samochód przed domem.,Arabayı evin önüne park ediyorum.,Kolay
spacerować,yürüyüş yapmak,spaţerovać,Spaceruję w parku.,Parkta yürüyüş yapıyorum.,Kolay
kasłać,öksürmek,kaşlać,Kaszlę od kilku dni.,Birkaç gündür öksürüyorum.,Kolay
kichać,hapşırmak,kihać,Kicham przez alergię.,Alerji yüzünden hapşırıyorum.,Kolay
wzdychać,iç çekmek,vzdıhać,Wzdycham ze zmęczenia.,Yorgunluktan iç çekiyorum.,Kolay
całować,öpmek,ţauovać,Całuję dziecko na dobranoc.,Çocuğu iyi geceler için öpüyorum.,Kolay
przytulać,sarılmak,pşıtulać,Przytulam przyjaciela.,Arkadaşıma sarılıyorum.,Kolay
mrugać,göz kırpmak,mrugać,Mrugam do kolegi.,Arkadaşıma göz kırpıyorum.,Kolay
szczypać,çimdiklemek,şçıpać,Szczypię się w rękę.,Elimi çimdikliyorum.,Kolay
drapać,kaşımak,drapać,Drapię się po głowie.,Kafamı kaşıyorum.,Kolay
pożyczać,ödünç almak,pojıçać,Pożyczam książkę z biblioteki.,Kütüphaneden kitap ödünç alıyorum.,Kolay
oddawać,geri vermek,oddavać,Oddaję pożyczone pieniądze.,Ödünç aldığım parayı geri veriyorum.,Kolay
obiecywać,söz vermek,obyeţıvać,Obiecuję wrócić wcześnie.,Erken döneceğime söz veriyorum.,Kolay
dotrzymywać,sözünü tutmak,dotşımıvać,Dotrzymuję obietnicy.,Sözümü tutuyorum.,Kolay
żartować,şaka yapmak,jartovać,Żartuję z przyjaciółmi.,Arkadaşlarımla şakalaşıyorum.,Kolay
relaksować się,rahatlamak,relaksovać şe,Relaksuję się po pracy.,İşten sonra rahatlıyorum.,Orta
medytować,meditasyon yapmak,medıtovać,Medytuję każdego ranka.,Her sabah meditasyon yapıyorum.,Orta
inwestować,yatırım yapmak,investovać,Inwestuję w akcje.,Hisse senetlerine yatırım yapıyorum.,Orta
ryzykować,risk almak,rızıkovać,Ryzykuję własne pieniądze.,Kendi paramı riske atıyorum.,Orta
eksperymentować,deney yapmak,eksperımentovać,Eksperymentuję z nowymi przepisami.,Yeni tariflerle deney yapıyorum.,Orta
publikować,yayınlamak,publikovać,Publikuję artykuł naukowy.,Bilimsel makale yayınlıyorum.,Orta
recenzować,eleştiri yazmak,reţenzovać,Recenzuję nową książkę.,Yeni kitabın eleştirisini yazıyorum.,Orta
redagować,düzenlemek (metin),redagovać,Redaguję tekst przed publikacją.,Metni yayınlamadan önce düzenliyorum.,Orta
tłumaczyć,çevirmek,tuumaçıć,Tłumaczę dokumenty na angielski.,Belgeleri İngilizceye çeviriyorum.,Orta
komponować,beste yapmak,komponovać,Komponuję nową piosenkę.,Yeni bir şarkı besteliyorum.,Orta
programować,programlama yapmak,programovać,Programuję nową aplikację.,Yeni bir uygulama programlıyorum.,Orta
debugować,hata ayıklamak,debugovać,Debuguję kod źródłowy.,Kaynak kodundaki hataları ayıklıyorum.,Orta
modernizować,modernize etmek,modernizovać,Modernizuję stary system.,Eski sistemi modernize ediyorum.,Orta
aktualizować,güncellemek,aktualizovać,Aktualizuję oprogramowanie.,Yazılımı güncelliyorum.,Orta
archiwizować,arşivlemek,arhivizovać,Archiwizuję stare dokumenty.,Eski belgeleri arşivliyorum.,Orta
konceptualizować,kavramsallaştırmak,konţeptualizovać,Konceptualizuję nowy projekt.,Yeni projeyi kavramsallaştırıyorum.,Zor
teoretyzować,teorileştirmek,teoretızovać,Teoretyzuję na temat wszechświata.,Evren hakkında teoriler üretiyorum.,Zor
filozofować,felsefi düşünmek,filozofovać,Filozofuję o sensie życia.,Hayatın anlamı üzerine felsefi düşünüyorum.,Zor
racjonalizować,rasyonelleştirmek,raţyonalizovać,Racjonalizuję swoje decyzje.,Kararlarımı rasyonelleştiriyorum.,Zor
abstrahować,soyutlamak,abstrahować,Abstrahuję od szczegółów.,Detaylardan soyutluyorum.,Zor
generalizować,genellemek,generalizovać,Generalizuję wyniki badań.,Araştırma sonuçlarını genelliyorum.,Zor
konkretyzować,somutlaştırmak,konkretızovać,Konkretyzuję swoje plany.,Planlarımı somutlaştırıyorum.,Zor
systematyzować,sistemleştirmek,sistematızovać,Systematyzuję swoją wiedzę.,Bilgimi sistemleştiriyorum.,Zor
strukturyzować,yapılandırmak,strukturızovać,Strukturyzuję dane w bazie.,Veritabanındaki verileri yapılandırıyorum.,Zor
parametryzować,parametrize etmek,parametrızovać,Parametryzuję funkcje w kodzie.,Koddaki fonksiyonları parametrize ediyorum.,Zor
hierarchizować,hiyerarşik düzenlemek,hyerarhizovać,Hierarchizuję priorytety w projekcie.,Projedeki öncelikleri hiyerarşik düzenliyorum.,Zor
schematyzować,şematize etmek,shematızovać,Schematyzuję proces produkcji.,Üretim sürecini şematize ediyorum.,Zor
idealizować,idealleştirmek,idealizovać,Idealizuję przeszłość.,Geçmişi idealleştiriyorum.,Zor
konceptualizować,kavramsallaştırmak,konţeptualizovać,Konceptualizuję nowy model biznesowy.,Yeni iş modelini kavramsallaştırıyorum.,Zor
relatywizować,görelileştirmek,relatıvizovać,Relatywizuję pojęcie sukcesu.,Başarı kavramını görelileştiriyorum.,Zor